epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0995,0.96701,3.34052,1.06615,0.00714,0.98143,0.20595,0.12539,0.69228,3.48133,0.82722,0.000406746,0.000406746,0.000406746
2,35.5678,0.85655,1.93591,1.0258,0.00637,0.94722,0.56444,0.41756,0.79379,2.82143,0.95788,0.000803033,0.000803033,0.000803033
3,51.3251,0.78988,1.48316,0.98793,0.75659,0.77058,0.86843,0.71627,0.70322,1.51531,0.94462,0.0011787,0.0011787,0.0011787
4,66.6084,0.77191,1.32796,0.97237,0.9548,0.92686,0.96757,0.8138,0.64693,0.78464,0.94888,0.00115719,0.00115719,0.00115719
5,79.6403,0.75447,1.11157,0.95586,0.96794,0.92872,0.97541,0.81953,0.65514,0.66369,0.9296,0.00112625,0.00112625,0.00112625
6,85.3527,0.73191,0.99588,0.95946,0.94607,0.93229,0.97982,0.83464,0.61475,0.61844,0.91681,0.00109531,0.00109531,0.00109531
7,91.1049,0.70309,0.92163,0.9415,0.94598,0.9392,0.98156,0.84888,0.58834,0.56983,0.90299,0.00106437,0.00106437,0.00106437
8,96.875,0.68128,0.88508,0.93937,0.93759,0.9635,0.97706,0.83621,0.62251,0.5766,0.91751,0.00103344,0.00103344,0.00103344
9,102.799,0.67078,0.82123,0.93568,0.9578,0.93183,0.98517,0.84809,0.60922,0.55574,0.91531,0.0010025,0.0010025,0.0010025
10,113.795,0.67171,0.76903,0.93798,0.93223,0.96426,0.98606,0.85164,0.59297,0.53408,0.91237,0.000971562,0.000971562,0.000971562
11,119.81,0.67276,0.75559,0.93154,0.95902,0.95094,0.98731,0.85907,0.54732,0.52372,0.89492,0.000940625,0.000940625,0.000940625
12,125.498,0.64791,0.71042,0.9286,0.97076,0.96209,0.98721,0.86018,0.54147,0.49578,0.89742,0.000909688,0.000909688,0.000909688
13,131.29,0.64833,0.68115,0.92909,0.92069,0.93334,0.98148,0.85525,0.5698,0.56249,0.9154,0.00087875,0.00087875,0.00087875
14,137.098,0.63653,0.67285,0.92853,0.96736,0.95475,0.98575,0.86266,0.55215,0.50449,0.91092,0.000847813,0.000847813,0.000847813
15,142.904,0.63414,0.63926,0.92714,0.94846,0.96462,0.98606,0.84909,0.61316,0.51449,0.93077,0.000816875,0.000816875,0.000816875
16,148.702,0.62208,0.61623,0.91768,0.96791,0.95709,0.9872,0.86816,0.54093,0.46287,0.8969,0.000785938,0.000785938,0.000785938
